,PSA-HM1-BAYTB-hist.txt,PSA-HM1-BAYTC-hist.txt,PSA-HM1-BAYTG-hist.txt,PSA-HM1-BAYTH-hist.txt,PSA-HP1-BAYTB-hist.txt,PSA-HP1-BAYTC-hist.txt,PSA-HP1-BAYTG-hist.txt,PSA-HP1-BAYTH-hist.txt,PSA-HS2-BAYTB-hist.txt,PSA-HS2-BAYTC-hist.txt,PSA-HS2-BAYTG-hist.txt,PSA-HS2-BAYTH-hist.txt,alpha3-BAYTB-hist.txt,alpha3-BAYTC-hist.txt,alpha3-BAYTG-hist.txt,alpha3-BAYTH-hist.txt,phix-BAYTB-hist.txt,phix-BAYTC-hist.txt,phix-BAYTG-hist.txt,phix-BAYTH-hist.txt
150,581.0,1652.0,826.0,2263.0,53.0,107.0,41.0,121.0,144.0,348.0,164.0,448.0,1.0,,,1.0,10.0,28.0,10.0,25.0
151,695.0,1737.0,975.0,2455.0,53.0,110.0,47.0,141.0,161.0,359.0,206.0,423.0,,1.0,,2.0,11.0,17.0,12.0,31.0
152,743.0,1743.0,991.0,2521.0,39.0,110.0,46.0,152.0,179.0,404.0,208.0,436.0,,1.0,,3.0,11.0,10.0,14.0,26.0
153,749.0,1894.0,1013.0,2679.0,47.0,128.0,49.0,149.0,176.0,415.0,210.0,517.0,,1.0,,3.0,12.0,9.0,14.0,40.0
154,802.0,1925.0,1139.0,2731.0,63.0,121.0,65.0,130.0,178.0,368.0,201.0,410.0,1.0,,,,16.0,17.0,13.0,20.0
155,879.0,2017.0,1130.0,2822.0,55.0,118.0,61.0,124.0,171.0,411.0,223.0,477.0,,1.0,3.0,1.0,9.0,11.0,13.0,24.0
156,886.0,2053.0,1107.0,2937.0,62.0,145.0,55.0,165.0,196.0,440.0,205.0,467.0,2.0,,,4.0,11.0,13.0,12.0,25.0
157,925.0,2060.0,1233.0,2965.0,70.0,133.0,68.0,147.0,227.0,386.0,223.0,515.0,1.0,,1.0,2.0,9.0,13.0,10.0,28.0
158,951.0,2141.0,1290.0,2909.0,64.0,112.0,69.0,164.0,234.0,437.0,238.0,526.0,,4.0,2.0,,13.0,18.0,13.0,17.0
159,1040.0,2236.0,1365.0,3086.0,68.0,135.0,82.0,170.0,230.0,472.0,237.0,507.0,,,1.0,8.0,13.0,16.0,14.0,20.0
160,1065.0,2334.0,1456.0,3203.0,82.0,117.0,77.0,160.0,270.0,474.0,283.0,548.0,,5.0,,5.0,8.0,16.0,11.0,40.0
161,1180.0,2266.0,1477.0,3251.0,82.0,137.0,82.0,164.0,263.0,535.0,280.0,600.0,,5.0,1.0,4.0,9.0,12.0,15.0,22.0
162,1158.0,2418.0,1577.0,3297.0,74.0,125.0,82.0,178.0,307.0,516.0,289.0,560.0,1.0,,1.0,1.0,11.0,15.0,9.0,20.0
163,1295.0,2421.0,1661.0,3573.0,91.0,165.0,88.0,221.0,301.0,482.0,285.0,562.0,,,,6.0,5.0,12.0,9.0,36.0
164,1369.0,2562.0,1720.0,3556.0,98.0,125.0,93.0,193.0,318.0,544.0,364.0,577.0,,,1.0,1.0,10.0,26.0,10.0,24.0
165,1469.0,2682.0,1775.0,3584.0,93.0,163.0,113.0,205.0,291.0,567.0,348.0,641.0,,2.0,1.0,6.0,8.0,11.0,8.0,33.0
166,1586.0,2773.0,1842.0,3780.0,98.0,158.0,123.0,194.0,365.0,564.0,360.0,617.0,,,,1.0,9.0,20.0,15.0,31.0
167,1561.0,2790.0,1987.0,3853.0,98.0,172.0,103.0,224.0,332.0,603.0,381.0,660.0,2.0,1.0,1.0,11.0,8.0,17.0,9.0,43.0
168,1687.0,2751.0,2104.0,3967.0,109.0,191.0,119.0,192.0,387.0,644.0,373.0,686.0,,1.0,1.0,6.0,17.0,22.0,15.0,55.0
169,1809.0,2993.0,2131.0,4014.0,113.0,185.0,113.0,227.0,387.0,601.0,375.0,746.0,1.0,1.0,,6.0,7.0,20.0,13.0,41.0
170,1816.0,2968.0,2264.0,4066.0,118.0,170.0,133.0,217.0,405.0,589.0,423.0,719.0,,3.0,,3.0,11.0,24.0,6.0,44.0
171,1972.0,2914.0,2388.0,4251.0,124.0,192.0,127.0,228.0,447.0,656.0,474.0,735.0,,3.0,,4.0,14.0,13.0,10.0,37.0
172,2007.0,3156.0,2385.0,4355.0,124.0,206.0,128.0,220.0,469.0,700.0,483.0,718.0,2.0,,,3.0,13.0,18.0,13.0,43.0
173,2230.0,3125.0,2618.0,4422.0,129.0,199.0,139.0,244.0,521.0,624.0,526.0,750.0,,1.0,,3.0,10.0,15.0,13.0,44.0
174,2182.0,3271.0,2776.0,4503.0,159.0,207.0,161.0,239.0,505.0,687.0,486.0,764.0,,,,6.0,12.0,14.0,19.0,42.0
