,PSA-HM1-BAYTB-hist.txt,PSA-HM1-BAYTC-hist.txt,PSA-HM1-BAYTG-hist.txt,PSA-HM1-BAYTH-hist.txt,PSA-HP1-BAYTB-hist.txt,PSA-HP1-BAYTC-hist.txt,PSA-HP1-BAYTG-hist.txt,PSA-HP1-BAYTH-hist.txt,PSA-HS2-BAYTB-hist.txt,PSA-HS2-BAYTC-hist.txt,PSA-HS2-BAYTG-hist.txt,PSA-HS2-BAYTH-hist.txt,alpha3-BAYTB-hist.txt,alpha3-BAYTC-hist.txt,alpha3-BAYTG-hist.txt,alpha3-BAYTH-hist.txt,phix-BAYTB-hist.txt,phix-BAYTC-hist.txt,phix-BAYTG-hist.txt,phix-BAYTH-hist.txt
363,7520.0,4488.0,6141.0,6332.0,549.0,289.0,399.0,351.0,1839.0,1006.0,1197.0,1115.0,,2.0,,4.0,359.0,449.0,375.0,239.0
364,7544.0,4533.0,5937.0,6198.0,548.0,311.0,408.0,358.0,1779.0,934.0,1196.0,1042.0,,3.0,,2.0,397.0,417.0,376.0,305.0
365,7382.0,4337.0,5990.0,6256.0,540.0,249.0,379.0,333.0,1749.0,943.0,1135.0,1074.0,,4.0,1.0,2.0,355.0,430.0,373.0,260.0
366,7269.0,4463.0,5889.0,6210.0,519.0,295.0,356.0,377.0,1767.0,968.0,1117.0,1028.0,,1.0,,6.0,337.0,437.0,337.0,290.0
367,7303.0,4437.0,5961.0,6227.0,528.0,275.0,390.0,320.0,1738.0,992.0,1117.0,1035.0,1.0,1.0,,2.0,322.0,436.0,358.0,262.0
368,7181.0,4467.0,5666.0,6050.0,563.0,292.0,355.0,331.0,1698.0,958.0,1108.0,1118.0,1.0,1.0,,1.0,354.0,427.0,347.0,274.0
369,7169.0,4391.0,5639.0,6005.0,501.0,276.0,350.0,311.0,1650.0,924.0,1159.0,1045.0,,4.0,1.0,,377.0,401.0,395.0,286.0
370,7042.0,4442.0,5471.0,5975.0,521.0,248.0,338.0,331.0,1701.0,950.0,1050.0,1099.0,,1.0,,1.0,342.0,420.0,348.0,257.0
371,6908.0,4483.0,5613.0,5914.0,511.0,283.0,385.0,310.0,1542.0,886.0,1060.0,1048.0,,,,7.0,345.0,392.0,361.0,277.0
372,7014.0,4368.0,5497.0,6042.0,506.0,265.0,354.0,344.0,1686.0,852.0,1018.0,1047.0,,,,2.0,377.0,374.0,355.0,253.0
373,6791.0,4309.0,5569.0,6148.0,481.0,310.0,353.0,355.0,1590.0,833.0,1071.0,991.0,,1.0,1.0,,344.0,446.0,351.0,250.0
374,6749.0,4438.0,5405.0,6036.0,520.0,301.0,329.0,346.0,1572.0,945.0,1069.0,1055.0,,1.0,1.0,,296.0,398.0,383.0,246.0
375,6612.0,4284.0,5206.0,5939.0,511.0,299.0,372.0,360.0,1564.0,913.0,1032.0,956.0,,2.0,1.0,,335.0,381.0,345.0,244.0
376,6654.0,4333.0,5291.0,6039.0,510.0,246.0,318.0,339.0,1544.0,879.0,970.0,1074.0,,,,3.0,318.0,381.0,351.0,264.0
377,6451.0,4324.0,5216.0,5942.0,446.0,318.0,306.0,358.0,1495.0,861.0,1035.0,1020.0,,,,6.0,297.0,373.0,326.0,231.0
378,6415.0,4244.0,5053.0,5805.0,479.0,283.0,313.0,371.0,1473.0,926.0,965.0,925.0,,3.0,,1.0,328.0,395.0,354.0,231.0
379,6428.0,4388.0,4943.0,5754.0,496.0,306.0,296.0,315.0,1495.0,908.0,998.0,1033.0,,3.0,1.0,7.0,365.0,364.0,317.0,237.0
380,6148.0,4216.0,5039.0,5890.0,485.0,290.0,307.0,325.0,1548.0,885.0,959.0,920.0,,1.0,,1.0,273.0,350.0,325.0,237.0
381,6207.0,4263.0,4737.0,5781.0,464.0,311.0,329.0,322.0,1417.0,846.0,955.0,946.0,,1.0,,1.0,293.0,379.0,293.0,202.0
382,6069.0,4173.0,4806.0,5821.0,499.0,264.0,281.0,292.0,1415.0,894.0,896.0,946.0,,4.0,1.0,4.0,291.0,366.0,312.0,227.0
383,6063.0,4175.0,4864.0,5754.0,472.0,288.0,293.0,315.0,1432.0,833.0,979.0,949.0,,2.0,,9.0,274.0,322.0,324.0,230.0
384,6166.0,4226.0,4729.0,5628.0,441.0,265.0,298.0,332.0,1458.0,857.0,892.0,972.0,,3.0,,3.0,287.0,369.0,301.0,205.0
385,5899.0,4226.0,4693.0,5844.0,387.0,229.0,274.0,323.0,1392.0,860.0,917.0,969.0,,,,4.0,321.0,353.0,299.0,215.0
386,5689.0,4057.0,4728.0,5655.0,462.0,255.0,308.0,323.0,1446.0,897.0,905.0,1008.0,,3.0,1.0,2.0,280.0,330.0,267.0,237.0
387,5763.0,4191.0,4619.0,5619.0,405.0,255.0,304.0,324.0,1333.0,923.0,828.0,938.0,,,,2.0,278.0,324.0,282.0,211.0
388,5715.0,4061.0,4392.0,5723.0,423.0,271.0,284.0,279.0,1335.0,879.0,847.0,955.0,,1.0,,4.0,285.0,340.0,305.0,225.0
389,5661.0,4176.0,4376.0,5341.0,405.0,264.0,257.0,336.0,1316.0,875.0,842.0,863.0,,,,,295.0,310.0,260.0,212.0
390,5472.0,4192.0,4401.0,5443.0,403.0,295.0,282.0,312.0,1259.0,892.0,867.0,841.0,1.0,3.0,,2.0,268.0,320.0,264.0,225.0
391,5705.0,4037.0,4443.0,5460.0,405.0,253.0,260.0,347.0,1344.0,830.0,825.0,923.0,,1.0,,,255.0,313.0,280.0,211.0
392,5537.0,4041.0,4314.0,5314.0,432.0,259.0,275.0,332.0,1211.0,824.0,834.0,914.0,,2.0,,,274.0,334.0,251.0,191.0
393,5390.0,4178.0,4207.0,5450.0,381.0,254.0,282.0,322.0,1298.0,902.0,828.0,845.0,,1.0,,4.0,243.0,308.0,318.0,200.0
394,5387.0,4002.0,4172.0,5314.0,354.0,280.0,245.0,300.0,1273.0,856.0,811.0,925.0,,,,2.0,253.0,285.0,207.0,195.0
395,5322.0,4020.0,4138.0,5374.0,389.0,243.0,280.0,292.0,1268.0,847.0,780.0,884.0,,1.0,,,272.0,281.0,286.0,202.0
396,5259.0,4046.0,4144.0,5505.0,373.0,271.0,282.0,292.0,1228.0,901.0,763.0,949.0,,1.0,,3.0,262.0,286.0,253.0,194.0
397,5018.0,4007.0,4060.0,5308.0,402.0,279.0,213.0,297.0,1210.0,824.0,751.0,908.0,1.0,1.0,,2.0,270.0,295.0,279.0,184.0
398,5119.0,4087.0,4029.0,5420.0,354.0,295.0,252.0,267.0,1202.0,859.0,728.0,936.0,,2.0,,6.0,240.0,304.0,271.0,186.0
399,5080.0,4007.0,3943.0,5161.0,355.0,222.0,236.0,266.0,1175.0,792.0,783.0,967.0,,2.0,,2.0,212.0,266.0,230.0,179.0
400,4901.0,4151.0,4059.0,5135.0,365.0,265.0,246.0,314.0,1204.0,811.0,771.0,846.0,,1.0,,,229.0,255.0,258.0,176.0
401,4827.0,4045.0,3816.0,5328.0,408.0,267.0,239.0,314.0,1198.0,876.0,779.0,856.0,1.0,1.0,,3.0,245.0,276.0,248.0,195.0
402,4924.0,3981.0,3823.0,5144.0,376.0,249.0,223.0,311.0,1184.0,771.0,745.0,908.0,,,,,221.0,235.0,242.0,186.0
403,4816.0,3942.0,3794.0,5259.0,355.0,249.0,247.0,301.0,1097.0,734.0,712.0,827.0,,4.0,,2.0,239.0,257.0,235.0,178.0
404,4855.0,3914.0,3579.0,5097.0,335.0,266.0,250.0,314.0,1092.0,871.0,721.0,878.0,,,,3.0,213.0,269.0,255.0,166.0
405,4874.0,3970.0,3565.0,5013.0,306.0,256.0,228.0,318.0,1095.0,858.0,692.0,822.0,,3.0,,3.0,190.0,283.0,256.0,175.0
406,4760.0,4071.0,3713.0,5034.0,346.0,223.0,221.0,259.0,1043.0,793.0,700.0,824.0,,,,,214.0,238.0,225.0,172.0
407,4516.0,3926.0,3570.0,5216.0,339.0,256.0,210.0,293.0,1093.0,789.0,719.0,838.0,,1.0,,1.0,180.0,260.0,204.0,182.0
408,4639.0,3848.0,3553.0,4880.0,324.0,265.0,214.0,308.0,1082.0,841.0,684.0,855.0,,,,2.0,202.0,240.0,200.0,169.0
409,4482.0,3922.0,3469.0,5140.0,335.0,228.0,218.0,285.0,1049.0,807.0,700.0,878.0,,2.0,1.0,4.0,196.0,223.0,209.0,148.0
410,4425.0,3860.0,3406.0,4981.0,360.0,239.0,200.0,283.0,1060.0,834.0,728.0,891.0,,2.0,,5.0,189.0,235.0,197.0,149.0
411,4295.0,3936.0,3431.0,5006.0,342.0,209.0,212.0,302.0,1023.0,769.0,693.0,766.0,,7.0,,4.0,170.0,202.0,189.0,150.0
412,4368.0,3917.0,3309.0,4958.0,315.0,238.0,221.0,272.0,1068.0,840.0,638.0,838.0,,,,3.0,193.0,216.0,193.0,145.0
413,4205.0,3961.0,3391.0,4979.0,303.0,251.0,193.0,267.0,1040.0,817.0,686.0,821.0,,3.0,,6.0,161.0,211.0,179.0,130.0
414,4299.0,3893.0,3246.0,4825.0,295.0,240.0,214.0,295.0,1025.0,834.0,660.0,878.0,,2.0,,2.0,177.0,195.0,163.0,142.0
415,4218.0,3774.0,3291.0,4756.0,323.0,260.0,186.0,263.0,1001.0,853.0,644.0,820.0,,1.0,,2.0,177.0,207.0,164.0,116.0
416,4073.0,3751.0,3202.0,4826.0,298.0,248.0,227.0,304.0,1030.0,828.0,620.0,727.0,,,,3.0,158.0,175.0,156.0,150.0
417,4163.0,3682.0,3128.0,4839.0,292.0,217.0,221.0,254.0,958.0,744.0,641.0,821.0,,1.0,,,172.0,167.0,146.0,122.0
418,4133.0,3808.0,3040.0,4789.0,270.0,252.0,191.0,282.0,971.0,812.0,584.0,820.0,,2.0,,3.0,149.0,166.0,144.0,110.0
419,4008.0,3578.0,3140.0,4750.0,288.0,245.0,196.0,275.0,982.0,841.0,599.0,812.0,,6.0,,1.0,162.0,155.0,148.0,99.0
420,4024.0,3710.0,3038.0,4709.0,292.0,234.0,179.0,266.0,991.0,859.0,642.0,793.0,,4.0,,3.0,138.0,166.0,136.0,121.0
421,3821.0,3694.0,3086.0,4765.0,266.0,226.0,202.0,269.0,968.0,824.0,577.0,789.0,,2.0,,2.0,124.0,132.0,140.0,107.0
422,3682.0,3789.0,3022.0,4720.0,285.0,215.0,193.0,284.0,957.0,821.0,637.0,837.0,,3.0,,4.0,122.0,140.0,109.0,101.0
423,3842.0,3672.0,2950.0,4662.0,261.0,264.0,183.0,276.0,950.0,787.0,593.0,809.0,,,,2.0,112.0,140.0,128.0,103.0
424,3768.0,3774.0,2925.0,4491.0,268.0,230.0,186.0,261.0,895.0,837.0,577.0,778.0,,1.0,,1.0,109.0,131.0,124.0,102.0
425,3733.0,3735.0,2959.0,4554.0,285.0,238.0,209.0,252.0,872.0,799.0,550.0,838.0,,3.0,,3.0,107.0,154.0,110.0,88.0
426,3586.0,3692.0,2870.0,4527.0,264.0,227.0,197.0,245.0,875.0,788.0,563.0,736.0,,,,1.0,88.0,110.0,95.0,101.0
427,3623.0,3644.0,2702.0,4666.0,281.0,276.0,166.0,272.0,878.0,826.0,560.0,763.0,,,,,99.0,99.0,97.0,86.0
428,3582.0,3655.0,2869.0,4597.0,297.0,259.0,169.0,248.0,844.0,811.0,553.0,790.0,,4.0,1.0,3.0,75.0,90.0,99.0,78.0
429,3567.0,3521.0,2796.0,4422.0,279.0,220.0,184.0,280.0,870.0,824.0,499.0,750.0,,2.0,,3.0,83.0,86.0,92.0,61.0
430,3454.0,3506.0,2658.0,4419.0,296.0,248.0,166.0,264.0,883.0,805.0,542.0,784.0,,1.0,,6.0,97.0,95.0,85.0,75.0
431,3428.0,3529.0,2803.0,4354.0,239.0,212.0,173.0,275.0,859.0,759.0,500.0,750.0,,4.0,1.0,1.0,56.0,99.0,79.0,60.0
432,3422.0,3510.0,2678.0,4481.0,251.0,192.0,156.0,287.0,850.0,767.0,539.0,725.0,,,,5.0,87.0,94.0,78.0,77.0
433,3391.0,3655.0,2653.0,4379.0,246.0,227.0,166.0,249.0,784.0,791.0,514.0,711.0,,1.0,,2.0,58.0,77.0,41.0,64.0
434,3301.0,3658.0,2611.0,4266.0,249.0,211.0,177.0,231.0,833.0,766.0,519.0,732.0,,2.0,,,64.0,75.0,51.0,61.0
435,3360.0,3693.0,2607.0,4391.0,241.0,233.0,148.0,248.0,810.0,719.0,499.0,723.0,,2.0,,1.0,55.0,56.0,47.0,56.0
436,3267.0,3513.0,2730.0,4353.0,240.0,231.0,155.0,252.0,818.0,719.0,478.0,794.0,,,,,51.0,73.0,65.0,52.0
437,3190.0,3560.0,2492.0,4262.0,227.0,210.0,150.0,236.0,789.0,754.0,486.0,727.0,,1.0,1.0,,44.0,48.0,52.0,50.0
438,3215.0,3598.0,2546.0,4283.0,256.0,235.0,127.0,229.0,757.0,736.0,472.0,772.0,,1.0,1.0,4.0,41.0,59.0,46.0,47.0
439,3184.0,3343.0,2361.0,4235.0,252.0,236.0,151.0,239.0,795.0,725.0,508.0,727.0,,,,,35.0,46.0,54.0,60.0
440,3046.0,3460.0,2479.0,4237.0,225.0,215.0,159.0,246.0,707.0,831.0,464.0,729.0,,3.0,,1.0,30.0,52.0,42.0,39.0
441,3098.0,3568.0,2310.0,4229.0,233.0,218.0,172.0,211.0,721.0,775.0,463.0,741.0,,,,2.0,26.0,47.0,33.0,43.0
442,3108.0,3429.0,2387.0,4188.0,239.0,224.0,145.0,216.0,720.0,740.0,447.0,732.0,,2.0,,1.0,28.0,45.0,39.0,35.0
443,2927.0,3422.0,2320.0,4212.0,217.0,209.0,160.0,235.0,763.0,732.0,466.0,667.0,,1.0,,4.0,25.0,36.0,30.0,40.0
444,2956.0,3506.0,2351.0,4143.0,223.0,238.0,137.0,252.0,684.0,707.0,441.0,728.0,,1.0,,7.0,18.0,34.0,23.0,47.0
445,2938.0,3465.0,2253.0,4255.0,210.0,234.0,138.0,237.0,683.0,687.0,441.0,727.0,,1.0,,1.0,34.0,26.0,24.0,47.0
446,2930.0,3559.0,2233.0,4183.0,190.0,231.0,141.0,235.0,648.0,720.0,432.0,768.0,,,,9.0,16.0,14.0,14.0,40.0
447,2850.0,3500.0,2275.0,4264.0,209.0,252.0,127.0,231.0,647.0,718.0,451.0,690.0,,2.0,,1.0,19.0,25.0,14.0,33.0
448,2792.0,3405.0,2217.0,4143.0,209.0,222.0,141.0,220.0,704.0,742.0,408.0,709.0,,3.0,,5.0,18.0,20.0,16.0,24.0
449,2716.0,3481.0,2167.0,4128.0,232.0,203.0,118.0,247.0,665.0,760.0,406.0,719.0,,,,6.0,18.0,20.0,13.0,22.0
450,2807.0,3446.0,2131.0,4100.0,193.0,231.0,124.0,234.0,644.0,709.0,417.0,675.0,,,,3.0,12.0,19.0,15.0,29.0
451,2800.0,3504.0,2193.0,3920.0,183.0,231.0,128.0,221.0,648.0,724.0,446.0,669.0,,,,,12.0,10.0,5.0,23.0
452,2583.0,3581.0,2144.0,4107.0,196.0,231.0,133.0,213.0,628.0,686.0,397.0,685.0,,1.0,,3.0,8.0,8.0,13.0,23.0
453,2623.0,3553.0,2073.0,4074.0,223.0,243.0,106.0,240.0,640.0,722.0,380.0,646.0,,,,1.0,4.0,13.0,11.0,26.0
454,2537.0,3414.0,2007.0,3951.0,193.0,228.0,145.0,223.0,593.0,745.0,373.0,697.0,,,,5.0,5.0,13.0,9.0,22.0
455,2556.0,3368.0,2008.0,3899.0,196.0,208.0,138.0,252.0,566.0,683.0,355.0,643.0,,,,2.0,3.0,12.0,8.0,37.0
456,2510.0,3465.0,2024.0,3977.0,202.0,177.0,108.0,200.0,578.0,657.0,323.0,637.0,,2.0,,1.0,6.0,7.0,5.0,19.0
457,2553.0,3404.0,1998.0,3787.0,187.0,226.0,106.0,196.0,569.0,664.0,375.0,617.0,,1.0,,,5.0,10.0,10.0,25.0
458,2568.0,3357.0,2022.0,4066.0,206.0,229.0,122.0,200.0,606.0,685.0,377.0,567.0,,1.0,,3.0,5.0,3.0,1.0,13.0
459,2480.0,3433.0,1973.0,3970.0,168.0,206.0,121.0,202.0,598.0,756.0,377.0,623.0,,2.0,,1.0,8.0,10.0,5.0,20.0
460,2451.0,3319.0,1946.0,3941.0,199.0,202.0,115.0,250.0,565.0,674.0,329.0,674.0,,1.0,,4.0,6.0,3.0,5.0,21.0
461,2398.0,3423.0,1899.0,3850.0,164.0,194.0,105.0,213.0,557.0,661.0,331.0,661.0,,,,4.0,7.0,7.0,7.0,26.0
462,2313.0,3336.0,1832.0,3855.0,170.0,203.0,114.0,211.0,602.0,720.0,349.0,635.0,,1.0,,7.0,3.0,6.0,7.0,17.0
463,2241.0,3472.0,1861.0,3877.0,161.0,195.0,93.0,203.0,546.0,649.0,342.0,618.0,,3.0,,4.0,5.0,9.0,5.0,23.0
464,2281.0,3452.0,1799.0,3732.0,161.0,236.0,102.0,168.0,561.0,631.0,376.0,591.0,,1.0,,,6.0,10.0,4.0,24.0
465,2356.0,3314.0,1859.0,3681.0,175.0,205.0,110.0,226.0,539.0,638.0,389.0,622.0,,2.0,,4.0,3.0,9.0,4.0,20.0
466,2280.0,3264.0,1715.0,3734.0,157.0,205.0,124.0,210.0,530.0,658.0,341.0,644.0,,,,1.0,4.0,4.0,6.0,24.0
467,2273.0,3321.0,1700.0,3714.0,175.0,201.0,109.0,218.0,517.0,626.0,336.0,618.0,,,,4.0,6.0,9.0,4.0,30.0
468,2294.0,3313.0,1706.0,3767.0,155.0,215.0,90.0,238.0,516.0,669.0,333.0,606.0,,1.0,,1.0,5.0,5.0,2.0,20.0
469,2124.0,3217.0,1712.0,3746.0,148.0,210.0,89.0,207.0,487.0,652.0,325.0,603.0,,1.0,,5.0,1.0,3.0,3.0,20.0
470,2111.0,3154.0,1669.0,3721.0,158.0,172.0,112.0,223.0,473.0,707.0,295.0,621.0,,,,2.0,3.0,8.0,6.0,15.0
471,2067.0,3191.0,1704.0,3755.0,159.0,212.0,97.0,217.0,485.0,658.0,325.0,587.0,,1.0,,4.0,4.0,6.0,2.0,15.0
472,2133.0,3224.0,1734.0,3724.0,150.0,206.0,100.0,172.0,449.0,680.0,308.0,626.0,,,,3.0,3.0,5.0,6.0,23.0
473,2007.0,3216.0,1640.0,3602.0,129.0,232.0,83.0,211.0,472.0,641.0,318.0,623.0,,,,3.0,3.0,8.0,5.0,27.0
474,2040.0,3090.0,1559.0,3501.0,145.0,194.0,103.0,196.0,465.0,684.0,318.0,598.0,,,,,6.0,2.0,8.0,18.0
475,1924.0,3202.0,1586.0,3492.0,156.0,213.0,81.0,224.0,440.0,691.0,321.0,594.0,,,,,3.0,7.0,6.0,16.0
476,1900.0,3194.0,1517.0,3609.0,143.0,191.0,96.0,197.0,471.0,662.0,294.0,601.0,,2.0,,3.0,,5.0,4.0,21.0
477,1904.0,3167.0,1580.0,3607.0,133.0,213.0,111.0,216.0,496.0,642.0,288.0,584.0,,2.0,,1.0,4.0,2.0,4.0,19.0
478,1961.0,3215.0,1517.0,3469.0,156.0,213.0,88.0,226.0,464.0,620.0,296.0,599.0,,,,1.0,3.0,5.0,2.0,23.0
479,1898.0,3188.0,1475.0,3485.0,139.0,198.0,80.0,208.0,466.0,697.0,287.0,591.0,,1.0,,2.0,2.0,6.0,,23.0
480,1893.0,3172.0,1502.0,3414.0,128.0,234.0,94.0,183.0,446.0,670.0,281.0,614.0,,,,3.0,1.0,4.0,5.0,25.0
481,1926.0,3065.0,1444.0,3412.0,165.0,231.0,68.0,194.0,445.0,640.0,298.0,547.0,,3.0,,3.0,5.0,2.0,5.0,18.0
482,1872.0,3167.0,1441.0,3512.0,140.0,191.0,80.0,186.0,415.0,631.0,304.0,583.0,,,,,2.0,5.0,4.0,26.0
483,1819.0,3176.0,1432.0,3517.0,122.0,222.0,88.0,222.0,391.0,624.0,294.0,596.0,,,,3.0,4.0,6.0,3.0,19.0
484,1795.0,3236.0,1410.0,3482.0,121.0,183.0,76.0,164.0,434.0,595.0,275.0,570.0,1.0,,,3.0,1.0,5.0,2.0,20.0
485,1769.0,3228.0,1397.0,3436.0,106.0,189.0,67.0,213.0,427.0,662.0,254.0,553.0,,,,4.0,3.0,2.0,5.0,16.0
486,1804.0,3056.0,1376.0,3453.0,134.0,172.0,83.0,182.0,427.0,674.0,251.0,553.0,,1.0,1.0,7.0,2.0,4.0,5.0,27.0
487,1672.0,3038.0,1370.0,3393.0,117.0,178.0,74.0,196.0,438.0,633.0,245.0,634.0,,3.0,,,6.0,3.0,3.0,13.0
488,1710.0,3132.0,1335.0,3460.0,103.0,159.0,86.0,182.0,377.0,635.0,272.0,537.0,,,,,2.0,7.0,3.0,18.0
489,1690.0,3085.0,1332.0,3326.0,144.0,176.0,61.0,201.0,394.0,659.0,253.0,564.0,,,,6.0,5.0,5.0,4.0,24.0
490,1667.0,3175.0,1398.0,3373.0,118.0,185.0,72.0,194.0,389.0,589.0,279.0,528.0,,1.0,,2.0,3.0,4.0,5.0,21.0
491,1525.0,3074.0,1305.0,3293.0,152.0,198.0,85.0,188.0,378.0,636.0,243.0,527.0,,,,3.0,3.0,4.0,6.0,12.0
492,1631.0,3003.0,1209.0,3299.0,123.0,190.0,62.0,197.0,377.0,656.0,236.0,517.0,,,,5.0,,8.0,4.0,9.0
493,1535.0,3108.0,1255.0,3330.0,129.0,178.0,83.0,159.0,398.0,617.0,237.0,574.0,,4.0,,5.0,2.0,7.0,5.0,10.0
494,1591.0,2998.0,1284.0,3301.0,119.0,162.0,76.0,177.0,355.0,588.0,238.0,549.0,,,,5.0,1.0,6.0,5.0,11.0
495,1555.0,2877.0,1241.0,3451.0,118.0,212.0,73.0,179.0,359.0,626.0,253.0,576.0,,,,,1.0,6.0,3.0,11.0
496,1586.0,2990.0,1198.0,3289.0,115.0,184.0,77.0,205.0,379.0,590.0,227.0,525.0,,,,2.0,2.0,9.0,1.0,20.0
497,1536.0,2952.0,1210.0,3136.0,118.0,176.0,78.0,195.0,357.0,617.0,220.0,529.0,,,,5.0,1.0,6.0,2.0,18.0
498,1525.0,3055.0,1231.0,3231.0,115.0,207.0,75.0,185.0,341.0,602.0,233.0,563.0,,,,,4.0,9.0,1.0,22.0
499,1559.0,2995.0,1146.0,3032.0,98.0,187.0,63.0,164.0,335.0,623.0,231.0,499.0,,1.0,,1.0,4.0,8.0,1.0,14.0
500,1475.0,2982.0,1140.0,3255.0,103.0,184.0,55.0,183.0,333.0,576.0,201.0,545.0,,3.0,,3.0,3.0,5.0,4.0,15.0
501,1473.0,2892.0,1150.0,3119.0,99.0,192.0,89.0,154.0,377.0,603.0,210.0,479.0,,1.0,,,4.0,6.0,7.0,17.0
502,1373.0,2885.0,1120.0,3182.0,97.0,198.0,79.0,180.0,335.0,614.0,230.0,499.0,,1.0,,2.0,2.0,7.0,2.0,11.0
503,1468.0,2882.0,1137.0,3130.0,100.0,200.0,60.0,187.0,343.0,600.0,226.0,474.0,,,,3.0,5.0,3.0,2.0,19.0
504,1419.0,2918.0,1137.0,3229.0,94.0,191.0,68.0,181.0,323.0,552.0,214.0,542.0,,2.0,,2.0,2.0,4.0,4.0,19.0
505,1384.0,2929.0,1085.0,3115.0,110.0,185.0,70.0,186.0,338.0,607.0,233.0,502.0,,1.0,,2.0,2.0,8.0,3.0,14.0
506,1407.0,2938.0,1152.0,3034.0,105.0,184.0,59.0,180.0,315.0,588.0,221.0,525.0,,,,2.0,6.0,2.0,5.0,25.0
507,1323.0,2944.0,1129.0,2977.0,99.0,195.0,65.0,165.0,295.0,600.0,223.0,461.0,,,,,2.0,6.0,2.0,20.0
508,1385.0,2863.0,1044.0,3067.0,86.0,174.0,73.0,169.0,300.0,548.0,205.0,519.0,,,,,7.0,4.0,3.0,20.0
509,1334.0,2878.0,1017.0,3067.0,101.0,191.0,62.0,166.0,272.0,579.0,198.0,509.0,,1.0,,1.0,4.0,7.0,2.0,18.0
510,1276.0,2735.0,1052.0,3018.0,107.0,187.0,66.0,152.0,325.0,565.0,201.0,506.0,,,,,1.0,5.0,3.0,26.0
511,1282.0,2960.0,1006.0,2921.0,89.0,176.0,60.0,150.0,297.0,555.0,188.0,507.0,,,,2.0,3.0,3.0,2.0,20.0
512,1209.0,2773.0,1004.0,3029.0,96.0,151.0,56.0,147.0,301.0,619.0,197.0,499.0,,2.0,,,1.0,3.0,2.0,8.0
513,1242.0,2890.0,1004.0,2931.0,82.0,194.0,51.0,158.0,285.0,573.0,194.0,489.0,,1.0,,,4.0,1.0,,7.0
514,1178.0,2817.0,957.0,2893.0,83.0,191.0,56.0,142.0,281.0,545.0,184.0,492.0,,2.0,,,1.0,1.0,,22.0
515,1209.0,2866.0,967.0,2838.0,80.0,187.0,55.0,166.0,302.0,566.0,176.0,468.0,,1.0,,,2.0,4.0,1.0,14.0
516,1198.0,2767.0,939.0,2975.0,87.0,216.0,66.0,179.0,312.0,545.0,172.0,467.0,,2.0,1.0,2.0,,4.0,3.0,20.0
517,1159.0,2796.0,939.0,2846.0,93.0,192.0,57.0,151.0,291.0,578.0,158.0,494.0,,1.0,,,2.0,3.0,2.0,25.0
518,1153.0,2699.0,986.0,2877.0,88.0,145.0,59.0,170.0,285.0,592.0,184.0,515.0,,1.0,,1.0,1.0,5.0,1.0,21.0
519,1154.0,2725.0,912.0,2796.0,72.0,148.0,48.0,156.0,240.0,545.0,191.0,448.0,,,,2.0,1.0,5.0,3.0,23.0
520,1134.0,2741.0,933.0,2829.0,87.0,167.0,56.0,152.0,258.0,587.0,196.0,441.0,,,,1.0,4.0,4.0,1.0,11.0
521,1151.0,2748.0,916.0,2791.0,86.0,192.0,41.0,149.0,241.0,531.0,170.0,444.0,,1.0,,,4.0,7.0,2.0,26.0
522,1127.0,2632.0,906.0,2788.0,68.0,187.0,60.0,134.0,262.0,556.0,169.0,436.0,,1.0,,,3.0,6.0,4.0,19.0
523,1061.0,2709.0,861.0,2829.0,63.0,178.0,62.0,168.0,282.0,552.0,184.0,474.0,,,,1.0,2.0,3.0,2.0,20.0
524,1102.0,2563.0,915.0,2729.0,78.0,191.0,52.0,150.0,246.0,537.0,169.0,461.0,,1.0,,4.0,1.0,,,23.0
525,1070.0,2693.0,914.0,2741.0,75.0,180.0,54.0,171.0,235.0,547.0,162.0,473.0,,3.0,,4.0,3.0,2.0,2.0,14.0
526,1008.0,2687.0,876.0,2755.0,67.0,167.0,37.0,171.0,222.0,581.0,181.0,442.0,,,,3.0,1.0,1.0,4.0,16.0
527,1071.0,2680.0,858.0,2623.0,89.0,196.0,49.0,144.0,222.0,553.0,154.0,484.0,,3.0,,1.0,2.0,1.0,1.0,16.0
528,1026.0,2731.0,878.0,2643.0,66.0,161.0,37.0,146.0,251.0,527.0,180.0,438.0,,,,1.0,1.0,,3.0,15.0
529,1034.0,2683.0,827.0,2808.0,79.0,176.0,53.0,153.0,233.0,564.0,140.0,436.0,,2.0,,2.0,2.0,2.0,1.0,24.0
530,1029.0,2693.0,824.0,2774.0,81.0,174.0,49.0,152.0,237.0,570.0,157.0,491.0,,2.0,,1.0,,4.0,4.0,14.0
531,977.0,2666.0,820.0,2649.0,87.0,154.0,56.0,165.0,229.0,562.0,137.0,450.0,1.0,1.0,,1.0,,3.0,2.0,12.0
532,1026.0,2623.0,802.0,2752.0,63.0,168.0,37.0,137.0,243.0,542.0,136.0,433.0,,1.0,,,1.0,2.0,4.0,14.0
533,981.0,2663.0,821.0,2678.0,78.0,187.0,52.0,154.0,233.0,523.0,167.0,451.0,,4.0,,,1.0,6.0,3.0,23.0
534,980.0,2689.0,786.0,2623.0,60.0,171.0,46.0,154.0,202.0,609.0,123.0,484.0,,1.0,,,1.0,3.0,,10.0
535,991.0,2716.0,812.0,2517.0,70.0,172.0,47.0,158.0,208.0,570.0,140.0,390.0,,1.0,,1.0,3.0,4.0,3.0,18.0
